Name,Comment,Likes
Palps,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=2m10s"">2:10</a> SIMP!!!",1
Bearky,this is the only good thing about the last jedi,0
linda n,gillette commercial,0
カーン,Didnt this movie came out in 2018....?,0
DarkBF,I dont care all of these things. I want to see the most powerful jedi and the most powerful sith &#39;DARTH VADER&#39;.,0
Red Jet 7059,"John Boyega&#39;s latest interview exposes his true opinions on this trainwreck of a film, and the RACIAL SHORTCOMINGS of pathetic Ruin Johnson. This movie is a disaster, and an embarassment to star wars. The lousy jedi is a disgrace",0
Laura Ponnath,see you again,0
connor Fincham,This movie is good other than a couple things I would have changed,0
Connor Nicholas,This is so bizarre. This ranks among one of the best trailers of all time for one of the worst movies of all time.,2
Noell,Film nya B aja Trailernya UWAW,0
Republic Rebellion,GREATEST. DISNEY. STAR WARS MOVIE.,1
Nomar Villegas,You know it’s a bad movie when the trailers are the only thing being praised about it years later,0
Eclipse,The Rise of Skywalker made the Last Jedi look like a good starwars film,1
Kike Colunge,"LOVE THIS MOVIE!!!! Love the 9 episodes of the <a href=""http://www.youtube.com/results?search_query=%23skywalkersaga"">#SkywalkerSaga</a> ❤❤❤❤❤",2
Alexander Vandewalle,Those who hate on Rian Johnson for turning Luke into a disillusioned hermit forget that it was J.J. who put him on that island.,2
John Marston,The final Episode of the Skywalker Saga was The Last Jedi. Episode 9 was just a extra.,0
Yi_Hui Meng,We know that 410dunce=607heartbreak+519force+815michael+1106rose+<br>1215solar+329darknessB+829mix+618highborn+1007prime+119bed+727krypton+1023proxy+1110royal+1219soon+310+crisis+<br>509float+1001pre+301court+130between+1210snow+219check+<br>1122 saint+428embrace+706japan+913overbid,0
Coldfire,Movie was garbage but this trailer is AMAZING,1
OverseerEnforcer or Godzilla1998alt,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=0m52s"">0:52</a> probably what you all came for",1
ChiileGB,La primera película de Star Wars que vi,0
Paul Denis Hegarty,<b>Why Am I Not In A Movie?</b>,0
Caleb James,Really thought this was going to be the greatest movie ever cause of the trailer. Probably would’ve liked it more had I not seen the trailer honestly 😂,0
Ricardo Alva,I truly think this movie was the beginning of the end. The turning point that led to a mess not even Abrams could salvage. Great trailer tho.,0
Megumi Bandicoot,I just came here for the comments.,79
Drew Scholl,Disney know how to make trailers but not actually make a good Star Wars movie,0
Colosphur,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m34s"">1:34</a>",1
Josy,The sequels are so bad,1
TaylorOriginal,I would make the next movie of Star Wars like the next generation where it starts off where they find lightsabers from digging in the ground and than just begins like a new Star Wars starting from the very beginning again,6
Jive,An amazing trailer for a terrible movie,1
AlanDaDJ,"Didn’t like the movie, but the trailer is pretty good",0
Random,"I feel like the people who say this is the worst Star Wars movie made exaggerate it but I also think that people who say it&#39;s a masterpiece are also exaggerating, this movie in my eyes is mediocre at best as well as worst.",0
Syte_Ballonjunge,a beautiful movie,1
qing xiao,"i hope george is happy with his 4 billion dollars, because he created a 3 demons by taking the money",0
qing xiao,"i hope george is happy with his 4 billion dollars, because he created a 3 demons by taking the money",1
Asmit,I really dislike this film but let&#39;s be honest this is one of the greatest trailers ever released.,1
Ryand,This trailer made the shittiness of the movie sting even more...,0
Annie Eyring,17-Jul,0
7TheConqueror,How people actually enjoyed this movie is beyond me,0
ManUtdFan🔴,I cant believe people actually like this movie 🤣,2
user 123,"ngl a great movie, trash characters (rose is still the most annoying person in existence) but a great movie nonetheless",0
Nathanael Reyes,To this day one of the best Star Wars movies alongside A New Hope and The Empire Strikes Back.,3
Jackson Nettleingham,I feel like the only person in the world who actually enjoyed The Last Jedi.,14
Mona Willj,Hey who and where lord Vader two kids in this movie,0
ThrowinShade77,I went to see this opening night and I regret nothing,8
Eunice Pound,My favorites for each Trilogy:<br>Prequels: Revenge of the Sith<br>Originals: Empire Strikes Back<br>Sequels: The Last Jedi,7
Grecia,best movie of the saga,4
Andrea Carol,This trailer is a masterpiece 💙,59
Lee,"Ugh... What a waste, this could have been amazing. This trailer is god level turd polishing. The movie is almost as bad as the prequels.",1
Husniati Salma Didu,"People keep telling me that they hate this film, but I really like this one",98
Jacob Plourde,This trailer is amazing but the movie sucks. Rise of sky walker is the only good movie in the sequel trilogy.,1
G a b r i e l,Idk if it&#39;s just me but the sequels are kinda growing on me and don&#39;t deserve the hate,4
spidermark2316,The best sequel film,5
Ian A,The hype was so real.<br><br><br><br><br><br>*sigh,0
SKRUBL0RD,"the best star wars FILM ever, and pretty much the ONLY star wars film because of the 3 dimensional character development which set up the reveal of rey as a palpatine",3
Ice stone,The trailer is good but the director was bad,2
Sea,Hey why did the Star Wars letters turn red,0
Karen Straberri,Love the movie and if you want to reply be nice or have good points,1
Mango btw,"I can say, this trailer i way much better then episode IX, it gives me goosebumps, always, it gives me it after 2 years after watching the film, tros hits different.<br>Tlj is my fav film from saga, Ryan showed us film dont need 200 lightsaber fights to be good. I wish he could make episode IX",44
Marcin R,Amazing trailer but the worst episode.,2
Daniel Pena,This Is not going to go the way you think. - Luke Skywalker <br><br>and now we know,1
Mohit,Imo Disney sequels are better than prequels but nothing beats the original trilogy,2
Juan Pablo Lucero,Disney are experts at making amazing trailers and leting us down with the movie,2
nateman79,The trailer made it look so good...... positive PC reviews..... how could we have known! We didn’t know! It’s like watching someone cook the perfect philly cheese steak then drop it on the sidewalk while handing it to you,2
RyanM;2507,This is a true example of great editing that makes you think that last Jedi is good for a split second,0
Robin,"This trailer makes better sense if you think that Snoke is talking about Reys raw power and having something truly special, not Kilo and if Luke is referring to Palpatines raw strength and not being scared enough of it then.",0
o,Disney Trilogy,0
Emily,U have no idea how much I love Star Wars it is the best movies ever like if u agree <br>👇🏻👇🏻👇🏻,1
Colosphur,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m53s"">1:53</a> <a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m40s"">1:40</a>",1
nova,Rey should have turned evil. would have been a nice twist,1
Luke Smith,Can anyone tell me what is so bad about the sequels? I love the sequels nearly as much as the originals. I think people just choose not to like it because they think it is cool to dislike stuff.,0
Gregory Tonarelli,This trailer and the throne room duel are the two best parts of this movie.,0
114D,This movie had so much potential and RJ burned the entire franchise to the ground<br><br>He is literally the Obi-Wan vs Anakin Ep. 3 meme,1
Tedd Pfeifer,"For me, this is the best Star Wars film",2
Javier Castañeda,The best star wars movie,1
Jackson Yollin,"“mission failed, we’ll get em next time”",1
Joshuvuh,Well at least the trailer goes hard and I can pretend the movie was good,1
Alosim1,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m46s"">1:46</a><br>They warned us",1
BalkanInfo,Trailer is but movie sucks,0
Cinema Stimulus,Best Star Wars trailer for the best Star Wars movie.,2
Lijo,Should have been J.J Abrams...,0
Kalle Salminen,Its much easier to make an epic trailer than a 2 hour film,1
Z,"Finally saw The Last Jedi.  The best thing about the movie is the fact it&#39;s the last one and I don&#39;t have to sit through one more algorithm generated, merchandise deiven trope machine.  Call these things &quot;Galaxy Fights&quot; and take out the old cast cameos and the third one would have been released straight to video.  I feel like I was being shot in the face with twin mini guns.  One loaded with tropes (&quot;no, we&#39;re gojng with you&quot;, &quot;no, you take this medallio  for your mission&quot;) and the other with fan service and callbacks.  I couldn&#39;t even finish rolling my eyes at one forced reference before something else cringeworthy hit me from the other barrel.",0
HerndonHimself,The last true trailer that ever hyped me for Star Wars,0
Terrill Goodwine Jr,Star Wars the storms of crait,1
𝔻𝕒𝕧𝕚𝕕 𝕊𝕞𝕚𝕥𝕙,Star Wars = Woke social justice dumpster fire,0
gingerbread2005,"Guys help me, after watching The Rise of Skywalker, I&#39;m actually starting to... like this film....<br><br><br><b>Except for the Canto Bight plot I still can&#39;t stand that</b>",0
Dr 2Stroke,should have just let Mickey Mouse do the last trilogy,0
Four M,Best episode of the sequel trilogy. The only sequel episode which introduced new ideas and set the stage for a thrilling final episode. Then &#39;The Rise of Skywalker&#39; came...,1
Jackson Brode,These Rey movies sucked until I saw last jedi,3
THE_VORTEX__,Worst movie in the worst trilogy,5
Miloslav Masár,Why is this trailer misleading? I don&#39;t get it,0
proud.lioness,I&#39;ll never forget watching this at the cinema on Christmas day back in 2017. Good times.,319
Teshiku,I’ve just noticed that Luke ripped off his skin on his fake arm,405
Chi Uy,My only complaint with this movie was kathleen kennedy&#39;s blatant feminism,2
ShadowFrosty101,ILL SHOW YOU THE DARK SIDE,3
GotLost86,This trailer was so good! Such a let down.,0
Kramas Music,This movie could have been good but it just didn’t have enough plot twists.,0
Ruben Garcia,"Back when I was really excited to see the next chapter in star wars, and then went the lazy route for shock twists😒",6
Poohjan,"I hated this movie with a passion for like 4-6 months after seeing it in theaters, but over the years, it’s really grown on me. It’s in my top 5 Star Wars films and by far my favorite out of the sequel trilogy.",8
Salvador Lucero,How come they can&#39;t make the movies as good as the trailers,0
Red Jet 7059,How can a trailer so good produce a film so insultingly pathetic. Egotistic Ruin Johnson be beaming with pride for his wreck of a movie,2
Drastic mlg,Let’s be honest John boyega and mark hamil has been honest of how bad this movie is,1
Todd Silagi,"<a href=""http://www.youtube.com/results?search_query=%23rianjohnsonisatalentlesshack"">#RIANJOHNSONISATALENTLESSHACK</a>",1
Faris Sweiss,The grandmaster should be a lot stronger,0
Faris Sweiss,Pretty sure when they said anakin would bring balance I think they only meant he would for like 5 years,1
Lachie Paterson,snoke would&#39;ve been such a cool character if disney did it right,0
Charles Cedric Tan,Love this movie ... still give me goosebumps. Though looking back I kind of felt The Last Jedi would have made a better finale to the whole Saga than being the middle film.,1
